From	To
O00425	ENSG00000136231.15
O00429	ENSG00000087470.22
O00443	ENSG00000011405.15
O00462	ENSG00000109323.12
O00469	ENSG00000152952.15
O00471	ENSG00000070367.18
O00472	ENSG00000118985.17
O00478	ENSG00000111801.17
O00483	ENSG00000189043.11
O00487	ENSG00000115233.13
O00488	ENSG00000142684.9
O00505	ENSG00000102753.11
O00506	ENSG00000115694.16
O00507	ENSG00000114374.14
O00541	ENSG00000100029.19
O00560	ENSG00000137575.13
O00566	ENSG00000124383.12
O00567	ENSG00000101361.18
O00571	ENSG00000215301.12
O00587	ENSG00000100060.19
O00626	ENSG00000102962.6
O00635	ENSG00000112343.12
O00743	ENSG00000119414.13
O00748	ENSG00000172831.15
O00750	ENSG00000133056.15
O00754	ENSG00000104774.15
O00762	ENSG00000175063.18
O00763	ENSG00000076555.16
O00764	ENSG00000160209.20
O00767	ENSG00000099194.7
O14492	ENSG00000160999.12
O14494	ENSG00000067113.18
O14497	ENSG00000117713.22
O14503	ENSG00000134107.6
O14521	ENSG00000204370.15
O14544	ENSG00000170677.7
O14545	ENSG00000135148.13
O14548	ENSG00000115944.16
O14561	ENSG00000004779.11
O14578	ENSG00000122966.19
O14579	ENSG00000105669.15
O14617	ENSG00000065000.21
O14641	ENSG00000004975.13
O14646	ENSG00000153922.13
O14647	ENSG00000173575.24
O14656	ENSG00000136827.12
O14662	ENSG00000124222.24
O14672	ENSG00000137845.16
O14686	ENSG00000167548.18
O14715	ENSG00000169629.13
O14727	ENSG00000120868.16
O14730	ENSG00000101782.16
O14733	ENSG00000076984.19
O14744	ENSG00000100462.17
O14745	ENSG00000109062.13
O14757	ENSG00000149554.16
O14772	ENSG00000254685.9
O14773	ENSG00000166340.19
O14776	ENSG00000113649.15
O14777	ENSG00000080986.14
O14787	ENSG00000105576.17
O14791	ENSG00000100342.23
O14802	ENSG00000148606.16
O14818	ENSG00000101182.16
O14828	ENSG00000116521.13
O14828	ENSG00000263290.5
O14879	ENSG00000119917.15
O14896	ENSG00000117595.14
O14908	ENSG00000123159.17
O14929	ENSG00000128708.14
O14931	ENSG00000204475.11
O14931	ENSG00000206430.8
O14931	ENSG00000225211.6
O14931	ENSG00000237103.6
O14931	ENSG00000237808.6
O14931	ENSG00000223833.6
O14931	ENSG00000236315.6
O14931	ENSG00000236979.6
O14936	ENSG00000147044.24
O14939	ENSG00000129219.15
O14949	ENSG00000164405.12
O14964	ENSG00000185359.15
O14965	ENSG00000087586.19
O14972	ENSG00000157538.15
O14974	ENSG00000058272.20
O14975	ENSG00000140284.12
O14976	ENSG00000178950.19
O14977	ENSG00000155096.15
O14979	ENSG00000152795.19
O14980	ENSG00000082898.20
O14981	ENSG00000095564.16
O14986	ENSG00000107242.21
O15014	ENSG00000180357.11
O15020	ENSG00000173898.17
O15021	ENSG00000069020.19
O15027	ENSG00000148396.20
O15031	ENSG00000196576.17
O15033	ENSG00000119682.19
O15042	ENSG00000163714.19
O15050	ENSG00000168016.16
O15055	ENSG00000132326.13
O15056	ENSG00000078269.15
O15060	ENSG00000166860.4
O15062	ENSG00000168795.6
O15063	ENSG00000166398.15
O15066	ENSG00000101350.9
O15067	ENSG00000178921.15
O15069	ENSG00000136274.9
O15078	ENSG00000198707.18
O15083	ENSG00000187672.16
O15111	ENSG00000213341.12
O15118	ENSG00000141458.14
O15119	ENSG00000135111.16
O15121	ENSG00000143753.15
O15131	ENSG00000196911.13
O15144	ENSG00000163466.17
O15145	ENSG00000111229.17
O15160	ENSG00000171453.21
O15164	ENSG00000122779.19
O15169	ENSG00000103126.16
O15173	ENSG00000164040.18
O15211	ENSG00000206282.11
O15211	ENSG00000224841.9
O15211	ENSG00000228736.9
O15211	ENSG00000237825.9
O15211	ENSG00000237441.11
O15212	ENSG00000204220.13
O15212	ENSG00000206283.10
O15212	ENSG00000224782.8
O15212	ENSG00000235692.8
O15212	ENSG00000237335.8
O15213	ENSG00000227057.10
O15213	ENSG00000206284.8
O15213	ENSG00000236222.8
O15213	ENSG00000204221.11
O15213	ENSG00000226916.8
O15217	ENSG00000170899.12
O15228	ENSG00000116906.14
O15234	ENSG00000108349.19
O15254	ENSG00000087008.17
O15258	ENSG00000157916.21
O15259	ENSG00000144061.15
O15269	ENSG00000090054.17
O15287	ENSG00000221829.12
O15294	ENSG00000147162.16
O15297	ENSG00000170836.14
O15305	ENSG00000140650.14
O15321	ENSG00000100926.16
O15321	ENSG00000285465.2
O15327	ENSG00000109452.15
O15357	ENSG00000165458.16
O15360	ENSG00000187741.17
O15371	ENSG00000100353.19
O15372	ENSG00000147677.13
O15381	ENSG00000143748.19
O15392	ENSG00000089685.16
O15397	ENSG00000133704.11
O15417	ENSG00000182095.15
O15427	ENSG00000141526.19
O15438	ENSG00000108846.17
O15439	ENSG00000125257.17
O15440	ENSG00000114770.18
O15479	ENSG00000099399.6
O15503	ENSG00000186480.14
O15519	ENSG00000003402.22
O15530	ENSG00000140992.21
O15533	ENSG00000112493.12
O15533	ENSG00000206208.11
O15533	ENSG00000206281.11
O15533	ENSG00000236490.9
O15533	ENSG00000231925.15
O15550	ENSG00000147050.19
O15554	ENSG00000104783.16
O43143	ENSG00000109606.14
O43147	ENSG00000141258.14
O43148	ENSG00000101654.19
O43150	ENSG00000151693.12
O43156	ENSG00000101407.14
O43159	ENSG00000132275.12
O43164	ENSG00000198961.12
O43166	ENSG00000197555.11
O43181	ENSG00000164258.13
O43187	ENSG00000134070.6
O43242	ENSG00000108344.16
O43252	ENSG00000138801.10
O43264	ENSG00000086827.10
O43290	ENSG00000175467.16
O43292	ENSG00000197858.13
O43293	ENSG00000167657.15
O43296	ENSG00000083844.11
O43298	ENSG00000169155.11
O43299	ENSG00000242802.10
O43303	ENSG00000103540.18
O43306	ENSG00000174233.13
O43307	ENSG00000131089.18
O43314	ENSG00000145725.22
O43325	ENSG00000102897.11
O43353	ENSG00000104312.9
O43379	ENSG00000075702.19
O43390	ENSG00000125944.23
O43390	ENSG00000282958.5
O43395	ENSG00000117360.14
O43396	ENSG00000091164.14
O43399	ENSG00000101150.19
O43405	ENSG00000100473.19
O43414	ENSG00000117419.17
O43422	ENSG00000137492.10
O43426	ENSG00000159082.19
O43427	ENSG00000172500.14
O43432	ENSG00000075151.24
O43463	ENSG00000101945.18
O43491	ENSG00000079819.21
O43502	ENSG00000108384.17
O43504	ENSG00000134248.15
O43529	ENSG00000115526.12
O43556	ENSG00000127990.20
O43557	ENSG00000125735.13
O43566	ENSG00000169220.19
O43567	ENSG00000082996.21
O43592	ENSG00000184575.13
O43617	ENSG00000054116.13
O43633	ENSG00000130724.11
O43639	ENSG00000071051.15
O43660	ENSG00000171566.13
O43663	ENSG00000198901.15
O43674	ENSG00000136521.14
O43676	ENSG00000119013.11
O43678	ENSG00000131495.9
O43681	ENSG00000198356.13
O43683	ENSG00000169679.16
O43684	ENSG00000154473.19
O43707	ENSG00000130402.15
O43707	ENSG00000282844.2
O43709	ENSG00000071462.14
O43731	ENSG00000100196.12
O43736	ENSG00000078596.12
O43739	ENSG00000008256.18
O43747	ENSG00000166747.14
O43752	ENSG00000135823.14
O43760	ENSG00000108639.9
O43776	ENSG00000134440.13
O43791	ENSG00000121067.20
O43795	ENSG00000128641.20
O43805	ENSG00000176101.13
O43808	ENSG00000100372.16
O43813	ENSG00000115365.14
O43837	ENSG00000101365.23
O43847	ENSG00000078618.24
O43861	ENSG00000166377.22
O43865	ENSG00000168710.19
O43889	ENSG00000107175.13
O43913	ENSG00000164815.12
O43929	ENSG00000115947.15
O43933	ENSG00000127980.17
O60216	ENSG00000164754.17
O60229	ENSG00000160145.16
O60231	ENSG00000204560.11
O60231	ENSG00000206486.8
O60231	ENSG00000233561.6
O60231	ENSG00000226171.6
O60231	ENSG00000233418.8
O60231	ENSG00000233049.6
O60231	ENSG00000231377.6
O60237	ENSG00000077157.24
O60244	ENSG00000180182.12
O60256	ENSG00000141127.16
O60264	ENSG00000153147.7
O60266	ENSG00000138031.16
O60271	ENSG00000008294.23
O60281	ENSG00000188994.15
O60287	ENSG00000142207.8
O60291	ENSG00000102858.14
O60292	ENSG00000105738.12
O60293	ENSG00000133858.17
O60296	ENSG00000115993.14
O60306	ENSG00000021776.12
O60307	ENSG00000099308.14
O60308	ENSG00000116198.15
O60312	ENSG00000206190.13
O60313	ENSG00000198836.12
O60318	ENSG00000160294.11
O60330	ENSG00000253159.3
O60331	ENSG00000186111.12
O60333	ENSG00000054523.21
O60336	ENSG00000137802.16
O60337	ENSG00000145495.18
O60341	ENSG00000004487.19
O60343	ENSG00000136111.15
O60346	ENSG00000081913.15
O60353	ENSG00000164930.13
O60381	ENSG00000105856.15
O60381	ENSG00000283847.2
O60427	ENSG00000149485.20
O60443	ENSG00000105928.17
O60449	ENSG00000054219.12
O60449	ENSG00000248672.5
O60476	ENSG00000198162.12
O60478	ENSG00000077585.15
O60486	ENSG00000136040.9
O60488	ENSG00000068366.22
O60502	ENSG00000198408.15
O60506	ENSG00000135316.20
O60506	ENSG00000271793.2
O60518	ENSG00000137040.10
O60524	ENSG00000165525.19
O60563	ENSG00000129315.13
O60566	ENSG00000156970.14
O60573	ENSG00000135930.16
O60610	ENSG00000131504.18
O60613	ENSG00000183291.18
O60645	ENSG00000180104.17
O60658	ENSG00000073417.16
O60664	ENSG00000105355.10
O60667	ENSG00000162894.13
O60669	ENSG00000118596.13
O60671	ENSG00000113456.21
O60673	ENSG00000009413.17
O60674	ENSG00000096968.15
O60684	ENSG00000025800.14
O60701	ENSG00000109814.13
O60711	ENSG00000110031.13
O60716	ENSG00000198561.17
O60725	ENSG00000116237.17
O60749	ENSG00000205302.8
O60763	ENSG00000138768.16
O60784	ENSG00000100284.23
O60812	ENSG00000179172.10
O60812	ENSG00000282175.4
O60814	ENSG00000197903.10
O60826	ENSG00000101997.14
O60828	ENSG00000102103.19
O60828	ENSG00000292208.1
O60831	ENSG00000243279.5
O60831	ENSG00000292222.1
O60832	ENSG00000130826.20
O60841	ENSG00000158417.13
O60861	ENSG00000007237.20
O60869	ENSG00000107223.14
O60879	ENSG00000147202.19
O60885	ENSG00000141867.19
O60888	ENSG00000112514.19
O60888	ENSG00000226492.7
O60906	ENSG00000135587.10
O60942	ENSG00000111880.17
O75037	ENSG00000116852.15
O75044	ENSG00000266028.9
O75051	ENSG00000076356.8
O75054	ENSG00000143061.19
O75064	ENSG00000198837.11
O75072	ENSG00000106692.16
O75083	ENSG00000071127.19
O75116	ENSG00000134318.17
O75122	ENSG00000163539.20
O75140	ENSG00000100150.21
O75143	ENSG00000175224.18
O75144	ENSG00000160223.19
O75146	ENSG00000130787.15
O75147	ENSG00000124006.16
O75150	ENSG00000103549.23
O75151	ENSG00000197724.13
O75153	ENSG00000132361.19
O75161	ENSG00000131697.19
O75164	ENSG00000066135.14
O75165	ENSG00000138246.17
O75175	ENSG00000088038.21
O75175	ENSG00000274941.4
O75175	ENSG00000275979.4
O75175	ENSG00000274176.4
O75175	ENSG00000277615.4
O75175	ENSG00000273943.4
O75175	ENSG00000274616.4
O75175	ENSG00000277600.4
O75175	ENSG00000277114.4
O75175	ENSG00000276082.4
O75177	ENSG00000184402.15
O75179	ENSG00000132466.21
O75182	ENSG00000127511.11
O75190	ENSG00000105993.16
O75191	ENSG00000093217.12
O75223	ENSG00000006625.19
O75251	ENSG00000115286.22
O75298	ENSG00000125744.13
O75306	ENSG00000158864.14
O75312	ENSG00000109917.12
O75326	ENSG00000138623.10
O75326	ENSG00000288455.1
O75330	ENSG00000072571.21
O75348	ENSG00000136888.9
O75351	ENSG00000119541.11
O75354	ENSG00000197586.14
O75362	ENSG00000171940.14
O75367	ENSG00000113648.18
O75369	ENSG00000136068.17
O75376	ENSG00000141027.24
O75385	ENSG00000177169.11
O75394	ENSG00000243147.9
O75396	ENSG00000265808.5
O75400	ENSG00000196504.22
O75410	ENSG00000147526.21
O75417	ENSG00000051341.16
O75419	ENSG00000093009.12
O75439	ENSG00000105819.16
O75448	ENSG00000008838.22
O75460	ENSG00000178607.17
O75477	ENSG00000107566.15
O75478	ENSG00000277104.4
O75487	ENSG00000076716.10
O75489	ENSG00000213619.12
O75496	ENSG00000112312.11
O75530	ENSG00000074266.24
O75533	ENSG00000115524.18
O75534	ENSG00000009307.18
O75563	ENSG00000005020.14
O75564	ENSG00000234616.10
O75592	ENSG00000005810.21
O75643	ENSG00000144028.16
O75663	ENSG00000143155.14
O75665	ENSG00000046651.17
O75691	ENSG00000120800.6
O75694	ENSG00000113569.18
O75695	ENSG00000102218.7
O75717	ENSG00000198554.13
O75787	ENSG00000182220.16
O75792	ENSG00000104889.8
O75794	ENSG00000151465.15
O75808	ENSG00000103326.13
O75821	ENSG00000130811.13
O75822	ENSG00000104131.14
O75843	ENSG00000213983.13
O75845	ENSG00000109929.11
O75865	ENSG00000007255.11
O75879	ENSG00000059691.13
O75882	ENSG00000088812.19
O75886	ENSG00000115145.11
O75891	ENSG00000144908.15
O75909	ENSG00000090061.18
O75916	ENSG00000108370.18
O75925	ENSG00000033800.15
O75935	ENSG00000137100.17
O75940	ENSG00000119953.15
O75955	ENSG00000137312.16
O75955	ENSG00000206379.12
O75955	ENSG00000206480.11
O75955	ENSG00000232280.9
O75955	ENSG00000230143.9
O75962	ENSG00000038382.23
O75964	ENSG00000167283.10
O75970	ENSG00000107186.18
O75976	ENSG00000108582.13
O76003	ENSG00000108010.13
O76021	ENSG00000171490.14
O76031	ENSG00000166855.10
O76036	ENSG00000189430.13
O76036	ENSG00000273535.4
O76036	ENSG00000275156.4
O76036	ENSG00000278362.4
O76036	ENSG00000273506.4
O76036	ENSG00000273916.4
O76036	ENSG00000274053.4
O76036	ENSG00000277824.4
O76036	ENSG00000275822.4
O76036	ENSG00000277629.4
O76062	ENSG00000149809.18
O76071	ENSG00000144021.4
O76094	ENSG00000174780.18
O94759	ENSG00000142185.19
O94768	ENSG00000081320.13
O94776	ENSG00000149480.7
O94782	ENSG00000162607.14
O94804	ENSG00000072786.14
O94806	ENSG00000115825.12
O94808	ENSG00000131459.14
O94822	ENSG00000198862.15
O94822	ENSG00000291534.1
O94826	ENSG00000154174.9
O94829	ENSG00000117408.12
O94830	ENSG00000085788.15
O94832	ENSG00000176658.18
O94842	ENSG00000092203.16
O94855	ENSG00000150961.16
O94864	ENSG00000119760.17
O94868	ENSG00000137478.16
O94874	ENSG00000014123.11
O94887	ENSG00000006607.15
O94888	ENSG00000163960.14
O94889	ENSG00000114648.13
O94898	ENSG00000198799.13
O94905	ENSG00000147475.18
O94906	ENSG00000101161.9
O94913	ENSG00000165494.13
O94915	ENSG00000075539.16
O94916	ENSG00000102908.24
O94919	ENSG00000149218.6
O94925	ENSG00000115419.15
O94927	ENSG00000249115.10
O94952	ENSG00000135108.17
O94953	ENSG00000127663.17
O94955	ENSG00000164292.14
O94964	ENSG00000149639.16
O94966	ENSG00000172046.21
O94967	ENSG00000085433.18
O94972	ENSG00000108395.15
O94973	ENSG00000183020.16
O94979	ENSG00000138674.18
O94985	ENSG00000171603.19
O94986	ENSG00000103995.14
O94992	ENSG00000186834.4
O95067	ENSG00000157456.9
O95070	ENSG00000174851.17
O95071	ENSG00000104517.14
O95072	ENSG00000100918.15
O95072	ENSG00000285007.2
O95081	ENSG00000106351.14
O95104	ENSG00000156304.16
O95140	ENSG00000116688.19
O95155	ENSG00000130939.21
O95159	ENSG00000162300.14
O95163	ENSG00000070061.17
O95166	ENSG00000170296.11
O95167	ENSG00000170906.17
O95167	ENSG00000275724.1
O95167	ENSG00000276220.1
O95167	ENSG00000273642.1
O95167	ENSG00000278365.1
O95167	ENSG00000274359.1
O95167	ENSG00000275605.1
O95167	ENSG00000276766.1
O95167	ENSG00000276061.4
O95167	ENSG00000277722.1
O95168	ENSG00000065518.9
O95198	ENSG00000109466.15
O95199	ENSG00000136161.14
O95214	ENSG00000104660.19
O95219	ENSG00000114520.12
O95229	ENSG00000122952.18
O95235	ENSG00000112984.13
O95236	ENSG00000128284.22
O95239	ENSG00000090889.13
O95243	ENSG00000129071.11
O95248	ENSG00000100241.23
O95255	ENSG00000091262.18
O95255	ENSG00000275331.5
O95260	ENSG00000107669.20
O95271	ENSG00000173273.18
O95271	ENSG00000285372.2
O95273	ENSG00000166946.15
O95295	ENSG00000143553.12
O95298	ENSG00000151366.14
O95299	ENSG00000130414.14
O95319	ENSG00000048740.20
O95347	ENSG00000136824.20
O95359	ENSG00000138162.20
O95361	ENSG00000221926.14
O95365	ENSG00000178951.10
O95373	ENSG00000205339.11
O95379	ENSG00000145779.8
O95382	ENSG00000142733.19
O95391	ENSG00000164609.11
O95402	ENSG00000105085.11
O95405	ENSG00000157077.17
O95425	ENSG00000197321.17
O95427	ENSG00000197563.12
O95433	ENSG00000100591.9
O95450	ENSG00000087116.18
O95453	ENSG00000140694.19
O95453	ENSG00000274829.4
O95466	ENSG00000184922.16
O95470	ENSG00000166224.19
O95476	ENSG00000175826.13
O95477	ENSG00000165029.17
O95478	ENSG00000164346.11
O95486	ENSG00000113615.14
O95490	ENSG00000117114.22
O95503	ENSG00000183741.13
O95562	ENSG00000213064.11
O95563	ENSG00000143158.12
O95573	ENSG00000123983.16
O95602	ENSG00000068654.18
O95613	ENSG00000160299.19
O95620	ENSG00000105865.12
O95620	ENSG00000284103.2
O95625	ENSG00000066422.8
O95628	ENSG00000080802.22
O95630	ENSG00000124356.18
O95644	ENSG00000131196.18
O95671	ENSG00000169093.17
O95671	ENSG00000292339.2
O95707	ENSG00000105171.11
O95714	ENSG00000128731.18
O95721	ENSG00000099940.13
O95757	ENSG00000164070.13
O95758	ENSG00000119314.18
O95759	ENSG00000204634.14
O95782	ENSG00000196961.14
O95786	ENSG00000107201.13
O95789	ENSG00000163867.18
O95789	ENSG00000271741.1
O95793	ENSG00000124214.22
O95801	ENSG00000243725.8
O95807	ENSG00000183726.12
O95816	ENSG00000112208.12
O95817	ENSG00000151929.11
O95819	ENSG00000071054.18
O95825	ENSG00000205758.13
O95831	ENSG00000156709.16
O95833	ENSG00000169583.14
O95834	ENSG00000125746.19
O95835	ENSG00000131023.14
O95837	ENSG00000156049.7
O95848	ENSG00000183828.16
O95861	ENSG00000162813.19
O95864	ENSG00000134824.15
O95870	ENSG00000204427.13
O95870	ENSG00000206403.11
O95870	ENSG00000230475.9
O95870	ENSG00000236063.9
O95870	ENSG00000235676.9
O95870	ENSG00000231488.9
O95870	ENSG00000224552.9
O95905	ENSG00000122882.12
O95977	ENSG00000125910.6
O95983	ENSG00000071655.19
O95985	ENSG00000100038.21
O96005	ENSG00000104853.17
O96006	ENSG00000214717.13
O96006	ENSG00000292345.2
O96009	ENSG00000131400.10
O96018	ENSG00000011132.13
O96019	ENSG00000136518.18
O96020	ENSG00000175305.19
O96028	ENSG00000109685.20
P00156	ENSG00000198727.2
P00338	ENSG00000134333.16
P00338	ENSG00000288299.1
P00367	ENSG00000148672.11
P00387	ENSG00000100243.23
P00395	ENSG00000198804.2
P00403	ENSG00000198712.1
P00451	ENSG00000185010.15
P00491	ENSG00000198805.13
P00491	ENSG00000291814.1
P00533	ENSG00000146648.22
P00558	ENSG00000102144.16
P00751	ENSG00000241253.8
P00751	ENSG00000239754.9
P00751	ENSG00000242335.8
P00751	ENSG00000243570.9
P00751	ENSG00000243649.11
P00751	ENSG00000241534.9
P00813	ENSG00000196839.15
P00973	ENSG00000089127.15
P01019	ENSG00000135744.9
P01024	ENSG00000125730.19
P01031	ENSG00000106804.11
P01042	ENSG00000113889.15
P01106	ENSG00000136997.22
P01137	ENSG00000105329.12
P01215	ENSG00000135346.9
P01374	ENSG00000230279.8
P01374	ENSG00000226979.10
P01374	ENSG00000231408.8
P01591	ENSG00000132465.13
P01859	ENSG00000211893.4
P01859	ENSG00000274497.2
P01889	ENSG00000234745.15
P01903	ENSG00000227993.9
P01903	ENSG00000206308.11
P01903	ENSG00000204287.15
P01903	ENSG00000234794.9
P01903	ENSG00000230726.9
P01903	ENSG00000228987.9
P01903	ENSG00000226260.9
P01903	ENSG00000277263.1
P01906	ENSG00000206301.9
P01906	ENSG00000237541.4
P01906	ENSG00000231526.3
P01906	ENSG00000257473.7
P01906	ENSG00000225103.3
P01906	ENSG00000223793.7
P01906	ENSG00000233192.7
P01906	ENSG00000231823.3
P01909	ENSG00000196735.14
P01909	ENSG00000206305.12
P01909	ENSG00000232062.9
P01909	ENSG00000257473.7
P01911	ENSG00000196126.13
P01920	ENSG00000231286.7
P01920	ENSG00000233209.6
P01920	ENSG00000225824.8
P02545	ENSG00000160789.26
P02671	ENSG00000171560.19
P02751	ENSG00000115414.22
P02768	ENSG00000163631.20
P02786	ENSG00000072274.15
P02792	ENSG00000087086.17
P03891	ENSG00000198763.3
P03923	ENSG00000198695.2
P04035	ENSG00000113161.18
P04040	ENSG00000121691.8
P04049	ENSG00000132155.15
P04062	ENSG00000177628.17
P04075	ENSG00000149925.22
P04083	ENSG00000135046.16
P04114	ENSG00000084674.15
P04150	ENSG00000113580.16
P04156	ENSG00000171867.19
P04179	ENSG00000291237.2
P04233	ENSG00000019582.18
P04264	ENSG00000167768.4
P04406	ENSG00000111640.16
P04424	ENSG00000126522.18
P04439	ENSG00000206503.16
P04440	ENSG00000215048.13
P04440	ENSG00000236693.11
P04440	ENSG00000223865.13
P04440	ENSG00000230763.11
P04440	ENSG00000226826.10
P04440	ENSG00000237710.10
P04626	ENSG00000141736.15
P04632	ENSG00000126247.12
P04637	ENSG00000141510.20
P04792	ENSG00000106211.11
P04818	ENSG00000176890.17
P04843	ENSG00000163902.13
P04844	ENSG00000118705.19
P04844	ENSG00000291973.1
P04899	ENSG00000114353.18
P04908	ENSG00000277075.4
P04908	ENSG00000278463.2
P05023	ENSG00000163399.17
P05067	ENSG00000142192.23
P05120	ENSG00000197632.10
P05141	ENSG00000005022.7
P05161	ENSG00000187608.11
P05164	ENSG00000005381.9
P05165	ENSG00000175198.18
P05166	ENSG00000114054.15
P05198	ENSG00000134001.16
P05362	ENSG00000090339.10
P05387	ENSG00000177600.11
P05388	ENSG00000089157.17
P05412	ENSG00000177606.9
P05496	ENSG00000159199.15
P05556	ENSG00000150093.21
P05771	ENSG00000166501.15
P05783	ENSG00000111057.12
P05787	ENSG00000170421.14
P06213	ENSG00000171105.15
P06276	ENSG00000114200.11
P06340	ENSG00000204252.15
P06340	ENSG00000206292.13
P06340	ENSG00000231558.11
P06340	ENSG00000232957.11
P06340	ENSG00000232962.11
P06340	ENSG00000230141.11
P06340	ENSG00000235744.11
P06396	ENSG00000148180.23
P06400	ENSG00000139687.18
P06493	ENSG00000170312.18
P06576	ENSG00000110955.10
P06702	ENSG00000163220.12
P06733	ENSG00000074800.17
P06737	ENSG00000100504.18
P06744	ENSG00000105220.18
P06746	ENSG00000070501.13
P06748	ENSG00000181163.15
P06753	ENSG00000143549.23
P06756	ENSG00000138448.14
P06865	ENSG00000213614.12
P07195	ENSG00000111716.15
P07203	ENSG00000233276.9
P07339	ENSG00000117984.16
P07355	ENSG00000182718.19
P07602	ENSG00000197746.16
P07686	ENSG00000049860.14
P07737	ENSG00000108518.9
P07814	ENSG00000136628.19
P07900	ENSG00000080824.20
P07910	ENSG00000092199.20
P07947	ENSG00000176105.15
P07948	ENSG00000254087.9
P07954	ENSG00000091483.9
P07992	ENSG00000012061.18
P07996	ENSG00000137801.12
P08047	ENSG00000185591.11
P08133	ENSG00000197043.16
P08174	ENSG00000196352.19
P08183	ENSG00000085563.16
P08195	ENSG00000168003.20
P08236	ENSG00000169919.18
P08237	ENSG00000152556.18
P08238	ENSG00000096384.21
P08240	ENSG00000182934.13
P08243	ENSG00000070669.18
P08246	ENSG00000197561.8
P08246	ENSG00000277571.2
P08311	ENSG00000100448.5
P08559	ENSG00000131828.15
P08567	ENSG00000115956.10
P08574	ENSG00000179091.6
P08575	ENSG00000081237.23
P08575	ENSG00000262418.5
P08579	ENSG00000125870.12
P08581	ENSG00000105976.17
P08582	ENSG00000163975.15
P08621	ENSG00000104852.16
P08631	ENSG00000101336.18
P08651	ENSG00000141905.20
P08670	ENSG00000026025.17
P08708	ENSG00000278229.2
P08708	ENSG00000182774.14
