uniprot_id,gene_id
P00403,ENSG00000198712
P00451,ENSG00000185010
P00491,ENSG00000198805
P00533,ENSG00000146648
P00558,ENSG00000102144
P00751,ENSG00000243649
P00813,ENSG00000196839
P00973,ENSG00000089127
P01019,ENSG00000135744
P01024,ENSG00000125730
P01031,ENSG00000106804
P01042,ENSG00000113889
P01106,ENSG00000136997
P01137,ENSG00000105329
P01215,ENSG00000135346
P01374,ENSG00000226979
P01591,ENSG00000132465
P01859,ENSG00000211893
P01889,ENSG00000234745
P01903,ENSG00000204287
P01906,ENSG00000237541
P01909,ENSG00000196735
P01911,ENSG00000196126
P02545,ENSG00000160789
P02671,ENSG00000171560
P02751,ENSG00000115414
P02768,ENSG00000163631
P02786,ENSG00000072274
P02792,ENSG00000087086
P03891,ENSG00000198763
P03923,ENSG00000198695
P04035,ENSG00000113161
P04040,ENSG00000121691
P04049,ENSG00000132155
P04062,ENSG00000177628
P04075,ENSG00000149925
P04083,ENSG00000135046
P04114,ENSG00000084674
P04150,ENSG00000113580
P04156,ENSG00000171867
P04179,ENSG00000291237
P04233,ENSG00000019582
P04264,ENSG00000167768
P04406,ENSG00000111640
P04424,ENSG00000126522
P04439,ENSG00000206503
P04440,ENSG00000223865
P04626,ENSG00000141736
P04632,ENSG00000126247
P04637,ENSG00000141510
P04792,ENSG00000106211
P04818,ENSG00000176890
P04843,ENSG00000163902
P04844,ENSG00000118705
P04899,ENSG00000114353
P04908,ENSG00000277075
P04908,ENSG00000278463
P05023,ENSG00000163399
P05067,ENSG00000142192
P05120,ENSG00000197632
P05141,ENSG00000005022
P05161,ENSG00000187608
P05164,ENSG00000005381
P05165,ENSG00000175198
P05166,ENSG00000114054
P05198,ENSG00000134001
P05362,ENSG00000090339
P05387,ENSG00000177600
P05388,ENSG00000089157
P05412,ENSG00000177606
P05496,ENSG00000159199
P05556,ENSG00000150093
P05771,ENSG00000166501
P05783,ENSG00000111057
P05787,ENSG00000170421
P06213,ENSG00000171105
P06276,ENSG00000114200
P06340,ENSG00000204252
P06396,ENSG00000148180
P06400,ENSG00000139687
P06493,ENSG00000170312
P06576,ENSG00000110955
P06702,ENSG00000163220
P06733,ENSG00000074800
P06737,ENSG00000100504
P06744,ENSG00000105220
P06746,ENSG00000070501
P06748,ENSG00000181163
P06753,ENSG00000143549
P06756,ENSG00000138448
P06865,ENSG00000213614
P07195,ENSG00000111716
P07203,ENSG00000233276
P07339,ENSG00000117984
P07355,ENSG00000182718
P07602,ENSG00000197746
P07686,ENSG00000049860
P07737,ENSG00000108518
P07814,ENSG00000136628
P07900,ENSG00000080824
P07910,ENSG00000092199
P07947,ENSG00000176105
P07948,ENSG00000254087
P07954,ENSG00000091483
P07992,ENSG00000012061
P07996,ENSG00000137801
P08047,ENSG00000185591
P08133,ENSG00000197043
P08174,ENSG00000196352
P08183,ENSG00000085563
P08195,ENSG00000168003
P08236,ENSG00000169919
P08237,ENSG00000152556
P08238,ENSG00000096384
P08240,ENSG00000182934
P08243,ENSG00000070669
P08246,ENSG00000197561
P08311,ENSG00000100448
P08559,ENSG00000131828
P08567,ENSG00000115956
P08574,ENSG00000179091
P08575,ENSG00000081237
P08579,ENSG00000125870
P08581,ENSG00000105976
P08582,ENSG00000163975
P08621,ENSG00000104852
P08631,ENSG00000101336
P08651,ENSG00000141905
P08670,ENSG00000026025
P08708,ENSG00000182774
P08729,ENSG00000135480
P08754,ENSG00000065135
P08758,ENSG00000164111
P08779,ENSG00000186832
P08865,ENSG00000168028
P08910,ENSG00000140526
P08F94,ENSG00000170927
P09001,ENSG00000114686
P09017,ENSG00000198353
P09211,ENSG00000084207
P09234,ENSG00000124562
P09237,ENSG00000137673
P09382,ENSG00000100097
P09488,ENSG00000134184
P09496,ENSG00000122705
P09525,ENSG00000196975
P09543,ENSG00000173786
P09601,ENSG00000100292
P09651,ENSG00000135486
P09668,ENSG00000103811
P09669,ENSG00000164919
P09874,ENSG00000143799
P09884,ENSG00000101868
P09912,ENSG00000126709
P09913,ENSG00000119922
P09914,ENSG00000185745
P09917,ENSG00000012779
P09958,ENSG00000140564
P09960,ENSG00000111144
P0C0L4,ENSG00000244731
P0C870,ENSG00000243789
P0CG12,ENSG00000286140
P0CG47,ENSG00000170315
P0CJ78,ENSG00000261221
P0DJD1,ENSG00000185304
P0DMV8,ENSG00000204388
P0DMV8,ENSG00000204389
P0DP23,ENSG00000143933
P0DP23,ENSG00000160014
P0DP23,ENSG00000198668
P0DPH7,ENSG00000075886
P0DPH7,ENSG00000198033
P0DPK2,ENSG00000269466
P10176,ENSG00000176340
P10242,ENSG00000118513
P10253,ENSG00000171298
P10321,ENSG00000204525
P10398,ENSG00000078061
P10589,ENSG00000175745
P10620,ENSG00000008394
P10644,ENSG00000108946
P10746,ENSG00000188690
P10809,ENSG00000144381
P11021,ENSG00000044574
P11047,ENSG00000135862
P11049,ENSG00000104894
P11142,ENSG00000109971
P11166,ENSG00000117394
P11171,ENSG00000159023
P11216,ENSG00000100994
P11230,ENSG00000170175
P11274,ENSG00000186716
P11279,ENSG00000185896
P11308,ENSG00000157554
P11309,ENSG00000137193
P11310,ENSG00000117054
P11387,ENSG00000198900
P11388,ENSG00000131747
P11413,ENSG00000160211
P11498,ENSG00000173599
P11511,ENSG00000137869
P11532,ENSG00000198947
P11586,ENSG00000100714
P11717,ENSG00000197081
P11766,ENSG00000197894
P11802,ENSG00000135446
P11831,ENSG00000112658
P11836,ENSG00000156738
P11926,ENSG00000115758
P11940,ENSG00000070756
P12004,ENSG00000132646
P12036,ENSG00000100285
P12074,ENSG00000111775
P12081,ENSG00000170445
P12109,ENSG00000142156
P12110,ENSG00000142173
P12111,ENSG00000163359
P12235,ENSG00000151729
P12236,ENSG00000169100
P12270,ENSG00000047410
P12814,ENSG00000072110
P12956,ENSG00000196419
P13010,ENSG00000079246
P13051,ENSG00000076248
P13056,ENSG00000120798
P13073,ENSG00000131143
P13196,ENSG00000023330
P13284,ENSG00000216490
P13489,ENSG00000023191
P13498,ENSG00000051523
P13598,ENSG00000108622
P13611,ENSG00000038427
P13612,ENSG00000115232
P13639,ENSG00000167658
P13645,ENSG00000186395
P13647,ENSG00000186081
P13667,ENSG00000155660
P13674,ENSG00000122884
P13747,ENSG00000204592
P13796,ENSG00000136167
P13797,ENSG00000102024
P13798,ENSG00000164062
P13804,ENSG00000140374
P13807,ENSG00000104812
P13995,ENSG00000065911
P14314,ENSG00000130175
P14317,ENSG00000180353
P14324,ENSG00000160752
P14373,ENSG00000204713
P14543,ENSG00000116962
P14550,ENSG00000117448
P14618,ENSG00000067225
P14625,ENSG00000166598
P14635,ENSG00000134057
P14678,ENSG00000125835
P14735,ENSG00000119912
P14866,ENSG00000104824
P14868,ENSG00000115866
P14921,ENSG00000134954
P14923,ENSG00000173801
P15104,ENSG00000135821
P15170,ENSG00000103342
P15289,ENSG00000100299
P15311,ENSG00000092820
P15328,ENSG00000110195
P15374,ENSG00000118939
P15498,ENSG00000141968
P15559,ENSG00000181019
P15621,ENSG00000197857
P15822,ENSG00000095951
P15880,ENSG00000140988
P15884,ENSG00000196628
P15923,ENSG00000071564
P15924,ENSG00000096696
P15927,ENSG00000117748
P15954,ENSG00000127184
P16104,ENSG00000188486
P16278,ENSG00000170266
P16333,ENSG00000158092
P16435,ENSG00000127948
P16591,ENSG00000151422
P16615,ENSG00000174437
P16885,ENSG00000197943
P16930,ENSG00000103876
P16949,ENSG00000117632
P17019,ENSG00000182141
P17026,ENSG00000165512
P17036,ENSG00000166526
P17038,ENSG00000198521
P17050,ENSG00000198951
P17066,ENSG00000173110
P17181,ENSG00000142166
P17275,ENSG00000171223
P17480,ENSG00000108312
P17612,ENSG00000072062
P17655,ENSG00000162909
P17813,ENSG00000106991
P17844,ENSG00000108654
P17858,ENSG00000141959
P17927,ENSG00000203710
P17980,ENSG00000165916
P17987,ENSG00000120438
P18031,ENSG00000196396
P18074,ENSG00000104884
P18077,ENSG00000182899
P18124,ENSG00000147604
P18206,ENSG00000035403
P18583,ENSG00000159140
P18621,ENSG00000215472
P18621,ENSG00000265681
P18754,ENSG00000180198
P18848,ENSG00000128272
P18850,ENSG00000118217
P18858,ENSG00000105486
P18887,ENSG00000073050
P19021,ENSG00000145730
P19086,ENSG00000128266
P19105,ENSG00000101608
P19174,ENSG00000124181
P19338,ENSG00000115053
P19367,ENSG00000156515
P19440,ENSG00000100031
P19525,ENSG00000055332
P19532,ENSG00000068323
P19544,ENSG00000184937
P19634,ENSG00000090020
P19784,ENSG00000070770
P19793,ENSG00000186350
P19823,ENSG00000151655
P19878,ENSG00000116701
P19971,ENSG00000025708
P20023,ENSG00000117322
P20036,ENSG00000231389
P20073,ENSG00000138279
P20226,ENSG00000112592
P20248,ENSG00000145386
P20273,ENSG00000012124
P20290,ENSG00000145741
P20333,ENSG00000028137
P20393,ENSG00000126368
P20591,ENSG00000157601
P20592,ENSG00000183486
P20618,ENSG00000008018
P20645,ENSG00000003056
P20674,ENSG00000178741
P20700,ENSG00000113368
P20701,ENSG00000005844
P20702,ENSG00000140678
P20749,ENSG00000069399
P20839,ENSG00000106348
P20929,ENSG00000183091
P20936,ENSG00000145715
P21281,ENSG00000147416
P21283,ENSG00000155097
P21333,ENSG00000196924
P21359,ENSG00000196712
P21399,ENSG00000122729
P21675,ENSG00000147133
P21796,ENSG00000213585
P22059,ENSG00000110048
P22061,ENSG00000120265
P22087,ENSG00000105202
P22090,ENSG00000129824
P22102,ENSG00000159131
P22234,ENSG00000128050
P22314,ENSG00000130985
P22392,ENSG00000011052
P22392,ENSG00000243678
P22570,ENSG00000161513
P22626,ENSG00000122566
P22670,ENSG00000132005
P22681,ENSG00000110395
P22695,ENSG00000140740
P22736,ENSG00000123358
P23193,ENSG00000187735
P23246,ENSG00000116560
P23258,ENSG00000131462
P23381,ENSG00000140105
P23396,ENSG00000149273
P23458,ENSG00000162434
P23470,ENSG00000144724
P23508,ENSG00000171444
P23526,ENSG00000101444
P23528,ENSG00000172757
P23610,ENSG00000277150
P23610,ENSG00000288709
P23610,ENSG00000288722
P23634,ENSG00000058668
P23763,ENSG00000139190
P23921,ENSG00000167325
P24001,ENSG00000008517
P24278,ENSG00000089775
P24390,ENSG00000105438
P24394,ENSG00000077238
P24522,ENSG00000116717
P24539,ENSG00000116459
P24821,ENSG00000041982
P24863,ENSG00000112237
P24864,ENSG00000105173
P24941,ENSG00000123374
P25054,ENSG00000134982
P25098,ENSG00000173020
P25205,ENSG00000112118
P25391,ENSG00000101680
P25398,ENSG00000112306
P25440,ENSG00000204256
P25445,ENSG00000026103
P25685,ENSG00000132002
P25705,ENSG00000152234
P25787,ENSG00000106588
P25787,ENSG00000256646
P25788,ENSG00000100567
P25789,ENSG00000041357
P26006,ENSG00000005884
P26010,ENSG00000139626
P26012,ENSG00000105855
P26038,ENSG00000147065
P26196,ENSG00000110367
